Cruise,Station,Type,Time_Stamp,Latitude,Longitude,Bottom_Z,CruiseCN,SCN,CampCN,Niskin,Cast_Type,Target_Z,Pressure,Density00,Density11,Sal11,SoundVel,SoundVel1,Oxygen_uM,Oxygen_V,Temperature,Temperature1,Conductivity,Conductivity1,BeamT,BeamAt,Fluorescence,Turbidity,UVP5,TOC,TOC_QF,TOC_sd,DOC,DOC_QF,DOC_sd,TDN,TDN_QF,TDN_sd,BactProd,BactProd_QF,BactProd_sd,BactAbund,BactAbund_QF,BactAbund_sd,TDAA,TDAA_QF,TDAA_sd,Asp,Glu,His,Ser,Arg,Thr,Gly,Tau,Bala,Tyr,Ala,GABA,Met,Val,Phe,Ile,Leu,Lys
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,24,Biology,5,3.624,1027.4482,1027.4479,34.6061,1467.81,1467.8,7.3405,2.9743,4.3933,4.3929,3.25752,3.257445,93.9064,-999,2.1211,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,23,Biology,5,3.519,1027.4489,1027.4479,34.6059,1467.76,1467.78,7.3466,2.9758,4.3835,4.3872,3.256647,3.256917,93.9339,-999,2.1717,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,22,Biology,5,3.191,1027.4468,1027.4464,34.606,1467.77,1467.78,7.3487,2.9768,4.3865,4.3882,3.256877,3.257,93.8926,-999,2.1032,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,21,Biology,5,3.218,1027.4477,1027.4473,34.6059,1467.74,1467.74,7.346,2.9754,4.3791,4.3799,3.256207,3.256259,93.8444,-999,1.9981,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,20,Biology,5,3.248,1027.4493,1027.4481,34.6057,1467.69,1467.71,7.3538,2.9772,4.3669,4.3722,3.255139,3.255547,93.8344,-999,2.0719,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,19,Biology,5,3.447,1027.4512,1027.4504,34.6058,1467.66,1467.67,7.3549,2.977,4.3593,4.3602,3.254486,3.254496,93.7973,-999,2.0943,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,18,Biology,5,3.615,1027.4517,1027.4518,34.6061,1467.67,1467.66,7.354,2.9767,4.3604,4.3569,3.254574,3.254234,93.8185,-999,2.0935,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,17,Biology,5,3.62,1027.452,1027.4521,34.6063,1467.67,1467.65,7.3564,2.9775,4.3592,4.3558,3.254485,3.25415,93.8217,-999,2.2659,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,16,Biology,5,3.737,1027.4526,1027.4525,34.6062,1467.66,1467.66,7.3494,2.975,4.3583,4.3568,3.254406,3.254241,93.8355,-999,2.2044,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,15,Biology,5,3.812,1027.4525,1027.4533,34.606,1467.69,1467.63,7.3511,2.9759,4.363,4.3503,3.254839,3.253647,93.8635,-999,2.2556,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,14,Biology,5,3.279,1027.4499,1027.4495,34.606,1467.68,1467.67,7.3535,2.9769,4.3636,4.3629,3.254856,3.254747,93.8445,-999,2.2098,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,13,Biology,16,16.965,1027.5326,1027.532,34.6111,1467.33,1467.34,7.3257,2.9542,4.2246,4.2259,3.24354,3.243597,94.3196,-999,2.1563,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,12,Biology,16,17.116,1027.5381,1027.5369,34.6147,1467.29,1467.29,7.3293,2.9545,4.2112,4.2136,3.242714,3.242819,94.6324,-999,2.1677,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,11,Biology,16,16.645,1027.537,1027.5365,34.6163,1467.26,1467.27,7.3249,2.953,4.2075,4.2079,3.242429,3.242416,94.4567,-999,1.9714,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,10,Biology,16,16.412,1027.5426,1027.5424,34.6226,1467.19,1467.19,7.3259,2.9523,4.189,4.1895,3.24127,3.241307,94.4032,-999,1.9337,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,9,Biology,16,16.814,1027.5435,1027.5408,34.6195,1467.21,1467.23,7.3199,2.9502,4.1911,4.1987,3.24139,3.241877,94.4895,-999,1.9382,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,8,Biology,16,16.723,1027.5514,1027.5443,34.6225,1467.11,1467.18,7.3084,2.9449,4.1659,4.1847,3.239746,3.24088,95.3642,-999,1.9195,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,7,Biology,42,43.158,1027.8298,1027.8294,34.7495,1465.31,1465.32,7.2066,2.8681,3.5953,3.5967,3.200341,3.200433,98.4909,-999,0.4271,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,6,Biology,42,42.817,1027.8278,1027.8276,34.7494,1465.31,1465.31,7.2078,2.8687,3.5973,3.5973,3.200477,3.200458,98.5407,-999,0.4235,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,5,Biology,42,42.736,1027.8281,1027.8276,34.7495,1465.3,1465.3,7.2036,2.8671,3.594,3.595,3.200222,3.200269,98.5603,-999,0.4567,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT34,0,B,2016-05-17T02:40,54.425,-46.148,-999,1,1,30,4,Biology,42,42.758,1027.8287,1027.8287,34.7503,1465.29,1465.29,7.2048,2.8673,3.5911,3.5913,3.199983,3.200004,98.5634,-999,0.4485,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
