Cruise,Station,Depth,Treatment,Bottle,Hours,Stationary_Sampling,Cells,Cells_sd,DOC,DOC_sd,Initial_BC,Stationary_BC
AT38,1,10,Control,A,0,168,128353357,13091140,67.1,0.5,-999,0.5
AT38,1,10,Control,A,48,168,183611750,17073932,-999,-999,-999,0.7
AT38,1,10,Control,A,72,168,409891373,34771009,-999,-999,-999,1.5
AT38,1,10,Control,A,96,168,491030280,37854944,-999,-999,-999,1.8
AT38,1,10,Control,A,120,168,584060233,54506085,-999,-999,-999,2.1
AT38,1,10,Control,A,121,168,-999,-999,-999,-999,-999,2.1
AT38,1,10,Control,A,144,168,574967080,54160901,-999,-999,-999,2.1
AT38,1,10,Control,A,168,168,524605000,85030695,64.4,0.8,-999,1.9
AT38,1,10,Control,A,192,168,619733373,79150112,-999,-999,-999,2.3
AT38,1,10,Control,A,216,168,604344960,61440503,-999,-999,-999,2.2
AT38,1,10,Control,A,240,168,671494400,82367750,-999,-999,-999,2.5
AT38,1,10,Control,A,360,168,-999,-999,63.4,0,-999,-999
AT38,1,10,Control,A,720,168,-999,-999,-999,-999,-999,-999
AT38,1,10,Control,A,912,168,-999,-999,62.3,0.3,-999,-999
AT38,1,10,Control,A,1656,168,-999,-999,61.5,0.1,-999,-999
AT38,1,10,Control,B,0,168,146889400,9030162,66.8,1.2,-999,0.5
AT38,1,10,Control,B,24,168,155283080,22008415,-999,-999,-999,0.5
AT38,1,10,Control,B,48,168,258105660,27871864,-999,-999,-999,0.9
AT38,1,10,Control,B,96,168,384710333,46265812,-999,-999,-999,1.3
AT38,1,10,Control,B,120,168,473893183,50614574,-999,-999,-999,1.6
AT38,1,10,Control,B,144,168,531599733,52769031,-999,-999,-999,1.8
AT38,1,10,Control,B,145,168,-999,-999,-999,-999,-999,1.8
AT38,1,10,Control,B,168,168,-999,-999,64.8,0,-999,2
AT38,1,10,Control,B,192,168,643515467,94421704,-999,-999,-999,2.1
AT38,1,10,Control,B,216,168,580562867,58707628,-999,-999,-999,1.9
AT38,1,10,Control,B,240,168,595951280,54461185,-999,-999,-999,2
AT38,1,10,Control,B,360,168,-999,-999,63.7,0.1,-999,-999
AT38,1,10,Control,B,720,168,-999,-999,-999,-999,-999,-999
AT38,1,10,Control,B,912,168,-999,-999,61.6,0.4,-999,-999
AT38,1,10,Control,B,1656,168,-999,-999,62.9,1,-999,-999
AT38,1,10,MixSD,G,0,-999,135348090,7195855,63.9,0.7,-999,-999
AT38,1,10,MixSD,G,24,-999,150386767,12981676,-999,-999,-999,-999
AT38,1,10,MixSD,G,48,-999,157031763,20019688,-999,-999,-999,-999
AT38,1,10,MixSD,G,96,-999,474476078,39648250,-999,-999,-999,-999
AT38,1,10,MixSD,G,120,-999,565407611,44391918,-999,-999,-999,-999
AT38,1,10,MixSD,G,157,-999,-999,-999,-999,-999,-999,-999
AT38,1,10,MixSD,G,168,-999,681287027,81318267,59.5,0.3,-999,-999
AT38,1,10,MixSD,G,192,-999,656105987,60603084,-999,-999,-999,-999
AT38,1,10,MixSD,G,216,-999,701222017,92696712,-999,-999,-999,-999
AT38,1,10,MixSD,G,240,-999,665898613,67960593,-999,-999,-999,-999
AT38,1,10,MixSD,G,360,-999,-999,-999,59.1,0.8,-999,-999
AT38,1,10,MixSD,G,720,-999,-999,-999,-999,-999,-999,-999
AT38,1,10,MixSD,G,912,-999,-999,-999,57.7,1.7,-999,-999
AT38,1,10,MixSD,G,1656,-999,-999,-999,56.5,1.1,-999,-999
AT38,1,10,MixSD,H,0,-999,134298880,11796954,63.7,0.5,-999,-999
AT38,1,10,MixSD,H,24,-999,141293613,19240815,-999,-999,-999,-999
AT38,1,10,MixSD,H,48,-999,166474653,14672276,-999,-999,-999,-999
AT38,1,10,MixSD,H,96,-999,469812922,37695844,-999,-999,-999,-999
AT38,1,10,MixSD,H,120,-999,566573400,49215380,-999,-999,-999,-999
AT38,1,10,MixSD,H,144,-999,697724650,55574026,-999,-999,-999,-999
AT38,1,10,MixSD,H,161,-999,-999,-999,-999,-999,-999,-999
AT38,1,10,MixSD,H,168,-999,705069120,76680202,60.7,0.1,-999,-999
AT38,1,10,MixSD,H,192,-999,728851213,71164704,-999,-999,-999,-999
AT38,1,10,MixSD,H,216,-999,765923300,64277164,-999,-999,-999,-999
AT38,1,10,MixSD,H,240,-999,742840680,63750641,-999,-999,-999,-999
AT38,1,10,MixSD,H,360,-999,-999,-999,59.2,0.9,-999,-999
