Cruise,Station,Depth,Treatment,Bottle,Hours,Stationary_Sampling,Cells,Cells_sd,DOC,DOC_sd,Initial_BC,Stationary_BC
AT39,2,10,Control,A,72,144,600148120,26747171,-999,-999,0.7,0.4
AT39,2,10,Control,A,96,144,619033900,50202671,-999,-999,0.7,0.4
AT39,2,10,Control,A,112,144,-999,-999,-999,-999,0.8,0.5
AT39,2,10,Control,A,120,144,802645650,108565557,-999,-999,0.9,0.5
AT39,2,10,Control,A,144,144,1135478378,62223963,58.1,0.2,1.2,0.8
AT39,2,10,Control,A,168,144,-999,-999,-999,-999,-999,-999
AT39,2,10,Control,A,360,144,-999,-999,57.3,0.6,-999,-999
AT39,2,10,Control,A,720,144,-999,-999,-999,-999,-999,-999
AT39,2,10,Control,A,840,144,-999,-999,57.2,0.2,-999,-999
AT39,2,10,Control,A,1992,144,-999,-999,55.5,0.4,-999,-999
AT39,2,10,Control,B,0,144,202847267,21747510,58.4,0.6,0.2,0.2
AT39,2,10,Control,B,24,144,404995060,44660519,-999,-999,0.4,0.3
AT39,2,10,Control,B,48,144,460253453,34235312,-999,-999,0.5,0.4
AT39,2,10,Control,B,72,144,626028633,54705195,-999,-999,0.7,0.5
AT39,2,10,Control,B,96,144,617868111,35615439,-999,-999,0.7,0.5
AT39,2,10,Control,B,110,144,-999,-999,-999,-999,0.7,0.6
AT39,2,10,Control,B,120,144,723954900,61245538,-999,-999,0.8,0.6
AT39,2,10,Control,B,144,144,1142473111,63139425,58.6,0.4,1.2,1
AT39,2,10,Control,B,168,144,-999,-999,-999,-999,-999,-999
AT39,2,10,Control,B,360,144,-999,-999,57.8,2,-999,-999
AT39,2,10,Control,B,720,144,-999,-999,-999,-999,-999,-999
AT39,2,10,Control,B,840,144,-999,-999,56.1,0.5,-999,-999
AT39,2,10,Control,B,1992,144,-999,-999,55.3,-999,-999,-999
AT39,2,10,TW10,E,0,120,219634627,16052367,70.7,1.6,0.2,0.8
AT39,2,10,TW10,E,24,120,399399273,31704314,-999,-999,0.4,1.4
AT39,2,10,TW10,E,48,120,1426925600,152713895,-999,-999,1.5,4.9
AT39,2,10,TW10,E,66,120,-999,-999,-999,-999,1.7,5.3
AT39,2,10,TW10,E,72,120,1584307100,122324534,-999,-999,1.7,5.4
AT39,2,10,TW10,E,96,120,2203341000,142779396,-999,-999,2.4,7.5
AT39,2,10,TW10,E,120,120,2213833100,250603941,-999,-999,2.4,7.6
AT39,2,10,TW10,E,144,120,-999,-999,60,0.9,-999,-999
AT39,2,10,TW10,E,168,120,-999,-999,-999,-999,-999,-999
AT39,2,10,TW10,E,360,120,-999,-999,58.7,-999,-999,-999
AT39,2,10,TW10,E,720,120,-999,-999,-999,-999,-999,-999
AT39,2,10,TW10,E,840,120,-999,-999,58.1,0.5,-999,-999
AT39,2,10,TW10,E,1992,120,-999,-999,57.2,0.1,-999,-999
AT39,2,10,TW10,F,0,120,219634627,16052367,73.5,0,0.2,1
AT39,2,10,TW10,F,24,120,423880840,26828346,-999,-999,0.5,1.9
AT39,2,10,TW10,F,48,120,1605291300,281460166,-999,-999,1.7,7.1
AT39,2,10,TW10,F,61,120,-999,-999,-999,-999,1.9,7.6
AT39,2,10,TW10,F,72,120,1832620133,214454463,-999,-999,2,8.1
AT39,2,10,TW10,F,96,120,2052954233,209874381,-999,-999,2.2,9.1
AT39,2,10,TW10,F,120,120,1951530600,257953020,-999,-999,2.1,8.6
AT39,2,10,TW10,F,144,120,-999,-999,59.6,0.4,-999,-999
AT39,2,10,TW10,F,168,120,-999,-999,-999,-999,-999,-999
AT39,2,10,TW10,F,360,120,-999,-999,59.7,1.4,-999,-999
AT39,2,10,TW10,F,720,120,-999,-999,-999,-999,-999,-999
AT39,2,10,TW10,F,840,120,-999,-999,57.4,0.3,-999,-999
AT39,2,10,TW10,F,1992,120,-999,-999,56.2,0.4,-999,-999
AT39,2,10,TW20,G,0,72,226629360,16052367,81.9,0.9,0.2,0.9
AT39,2,10,TW20,G,24,72,362327187,17695431,-999,-999,0.4,1.4
AT39,2,10,TW20,G,48,72,2430669833,224395435,-999,-999,2.6,9.3
AT39,2,10,TW20,G,64,72,-999,-999,-999,-999,2.9,10.1
AT39,2,10,TW20,G,72,72,2755924933,368949622,64.1,0.4,3,10.6
AT39,2,10,TW20,G,168,72,-999,-999,-999,-999,-999,-999
AT39,2,10,TW20,G,720,72,-999,-999,-999,-999,-999,-999
AT39,2,10,TW20,G,840,72,-999,-999,58.6,0.3,-999,-999
AT39,2,10,TW20,G,1992,72,-999,-999,57.1,0.7,-999,-999
AT39,2,10,TW20,H,0,72,207393843,16325207,80.3,1,0.2,0.7
AT39,2,10,TW20,H,24,72,362327187,25710865,-999,-999,0.4,1.3
AT39,2,10,TW20,H,48,72,2262796233,198560920,-999,-999,2.5,8.1
AT39,2,10,TW20,H,64,72,-999,-999,-999,-999,2.8,9.1
AT39,2,10,TW20,H,72,72,2692972333,195769245,64,1.4,2.9,9.6
AT39,2,10,TW20,H,168,72,-999,-999,-999,-999,-999,-999
AT39,2,10,TW20,H,360,72,-999,-999,60.4,1.5,-999,-999
AT39,2,10,TW20,H,720,72,-999,-999,-999,-999,-999,-999
AT39,2,10,TW20,H,840,72,-999,-999,60.2,-999,-999,-999
AT39,2,10,TW20,H,1992,72,-999,-999,59.2,2.3,-999,-999
AT39,2,10,TW5,C,0,144,218935153,23269100,64,0.5,0.2,0.4
AT39,2,10,TW5,C,24,144,451859773,40812602,-999,-999,0.5,0.8
AT39,2,10,TW5,C,48,144,825378533,59646683,-999,-999,0.9,1.5
AT39,2,10,TW5,C,72,144,1601793933,151821345,-999,-999,1.7,2.9
AT39,2,10,TW5,C,78,144,-999,-999,-999,-999,1.7,2.9
AT39,2,10,TW5,C,96,144,1591301833,159205963,-999,-999,1.7,2.9
AT39,2,10,TW5,C,120,144,2231319933,187833156,-999,-999,2.4,4.1
AT39,2,10,TW5,C,144,144,1808138567,96204075,59.6,0.7,2,3.3
AT39,2,10,TW5,C,168,144,-999,-999,-999,-999,-999,-999
AT39,2,10,TW5,C,360,144,-999,-999,58.9,0.8,-999,-999
AT39,2,10,TW5,C,720,144,-999,-999,-999,-999,-999,-999
AT39,2,10,TW5,C,840,144,-999,-999,57,0.4,-999,-999
AT39,2,10,TW5,C,1992,144,-999,-999,56.8,0.5,-999,-999
AT39,2,10,TW5,D,0,144,207743580,16748455,64.4,0.2,0.2,0.4
AT39,2,10,TW5,D,24,144,423181367,35551783,-999,-999,0.5,0.9
AT39,2,10,TW5,D,48,144,891828500,83389904,-999,-999,1,1.9
AT39,2,10,TW5,D,72,144,1517857133,124690373,-999,-999,1.6,3.2
AT39,2,10,TW5,D,73,144,-999,-999,-999,-999,1.7,3.2
AT39,2,10,TW5,D,96,144,1741688600,225332246,-999,-999,1.9,3.6
AT39,2,10,TW5,D,120,144,1776662267,240503124,-999,-999,1.9,3.7
AT39,2,10,TW5,D,144,144,1773164900,93335944,60.7,0.6,1.9,3.7
AT39,2,10,TW5,D,168,144,-999,-999,-999,-999,-999,-999
AT39,2,10,TW5,D,360,144,-999,-999,60.7,-999,-999,-999
AT39,2,10,TW5,D,720,144,-999,-999,-999,-999,-999,-999
AT39,2,10,TW5,D,840,144,-999,-999,55.8,0.1,-999,-999
AT39,2,10,TW5,D,1992,144,-999,-999,55.7,0.8,-999,-999
AT39,3,10,Control,A,0,216,128003620,13615296,58.5,1,0.1,0.2
AT39,3,10,Control,A,24,216,151435977,11894475,-999,-999,0.1,0.2
AT39,3,10,Control,A,72,216,237121460,20775915,-999,-999,0.1,0.3
AT39,3,10,Control,A,96,216,240269090,16897908,-999,-999,0.1,0.3
AT39,3,10,Control,A,120,216,358130347,26949650,-999,-999,0.2,0.5
AT39,3,10,Control,A,144,216,426678733,39292447,-999,-999,0.2,0.6
AT39,3,10,Control,A,168,216,478439760,48145811,-999,-999,0.3,0.7
AT39,3,10,Control,A,190,216,-999,-999,-999,-999,0.3,0.7
AT39,3,10,Control,A,192,216,527402893,30967005,-999,-999,0.3,0.7
AT39,3,10,Control,A,216,216,531599733,33948285,57.9,0.3,0.3,0.8
AT39,3,10,Control,A,336,216,-999,-999,57.9,0.1,-999,-999
AT39,3,10,Control,A,720,216,-999,-999,-999,-999,-999,-999
AT39,3,10,Control,A,816,216,-999,-999,56.9,1.2,-999,-999
AT39,3,10,Control,A,1968,216,-999,-999,55,0.5,-999,-999
AT39,3,10,Control,B,0,216,146189927,10401032,58.1,0.6,0.1,0.3
AT39,3,10,Control,B,24,216,167174127,16715966,-999,-999,0.1,0.3
AT39,3,10,Control,B,72,216,206344633,19367540,-999,-999,0.1,0.4
AT39,3,10,Control,B,96,216,231875410,19787528,-999,-999,0.1,0.4
AT39,3,10,Control,B,120,216,367922973,19838973,-999,-999,0.2,0.7
AT39,3,10,Control,B,144,216,430875573,34927004,-999,-999,0.3,0.8
AT39,3,10,Control,B,168,216,492429227,45474733,-999,-999,0.3,0.9
AT39,3,10,Control,B,192,216,491030280,38283343,-999,-999,0.3,0.9
AT39,3,10,Control,B,203,216,-999,-999,-999,-999,0.3,1
AT39,3,10,Control,B,216,216,507817640,22412272,58.8,0.4,0.3,1
AT39,3,10,Control,B,336,216,-999,-999,57.6,0.2,-999,-999
AT39,3,10,Control,B,720,216,-999,-999,-999,-999,-999,-999
AT39,3,10,Control,B,816,216,-999,-999,57.9,0.9,-999,-999
AT39,3,10,Control,B,1968,216,-999,-999,55.5,0.5,-999,-999
AT39,4,10,Control,A,0,216,148288347,7224130,56.8,0.7,0.1,0.3
AT39,4,10,Control,A,24,216,158780447,15483502,-999,-999,0.1,0.3
AT39,4,10,Control,A,48,216,165425443,20060378,-999,-999,0.1,0.3
AT39,4,10,Control,A,72,216,180114383,17852183,-999,-999,0.1,0.3
AT39,4,10,Control,A,96,216,203896477,21052095,-999,-999,0.1,0.4
AT39,4,10,Control,A,120,216,218585417,23096158,-999,-999,0.1,0.4
AT39,4,10,Control,A,144,216,277341177,26432833,-999,-999,0.1,0.5
AT39,4,10,Control,A,168,216,442766620,29867866,-999,-999,0.2,0.8
AT39,4,10,Control,A,192,216,403596113,19240815,-999,-999,0.2,0.7
AT39,4,10,Control,A,216,216,467947660,46450507,54.6,0.6,0.2,0.9
AT39,4,10,Control,A,273,216,-999,-999,-999,-999,0.2,0.9
AT39,4,10,Control,A,720,216,-999,-999,-999,-999,-999,-999
AT39,4,10,Control,A,744,216,-999,-999,55.4,0.4,-999,-999
AT39,4,10,Control,A,1896,216,-999,-999,55.8,0.5,-999,-999
AT39,4,10,Control,A,2400,216,-999,-999,55.4,-999,-999,-999
AT39,4,10,Control,B,0,216,159829657,15470330,56.4,0.7,0.1,0.2
AT39,4,10,Control,B,24,216,152485187,10960896,-999,-999,0.1,0.2
AT39,4,10,Control,B,48,216,179414910,15645043,-999,-999,0.1,0.3
AT39,4,10,Control,B,72,216,186759380,17228451,-999,-999,0.1,0.3
AT39,4,10,Control,B,96,216,198300690,30801987,-999,-999,0.1,0.3
AT39,4,10,Control,B,120,216,217186470,19951686,-999,-999,0.1,0.3
AT39,4,10,Control,B,144,216,294828010,18945415,-999,-999,0.1,0.4
AT39,4,10,Control,B,168,216,442067147,38141078,-999,-999,0.2,0.7
AT39,4,10,Control,B,192,216,398699800,18941827,-999,-999,0.2,0.6
AT39,4,10,Control,B,216,216,418984527,22951538,56.6,0.3,0.2,0.6
AT39,4,10,Control,B,262,216,-999,-999,-999,-999,0.2,0.6
AT39,4,10,Control,B,720,216,-999,-999,-999,-999,-999,-999
AT39,4,10,Control,B,744,216,-999,-999,55.9,0.3,-999,-999
AT39,4,10,Control,B,1896,216,-999,-999,53.7,0.7,-999,-999
AT39,4,10,Control,B,2400,216,-999,-999,54.1,1,-999,-999
AT39,S2RD,10,Control,A,0,168,150037030,19116805,59.5,1.1,0.2,0.5
AT39,S2RD,10,Control,A,24,168,153884133,18579618,-999,-999,0.2,0.5
AT39,S2RD,10,Control,A,48,168,466548713,28182208,-999,-999,0.5,1.4
AT39,S2RD,10,Control,A,72,168,802062756,71188466,-999,-999,0.9,2.4
AT39,S2RD,10,Control,A,89,168,-999,-999,-999,-999,0.8,2.1
AT39,S2RD,10,Control,A,96,168,655173356,49399134,-999,-999,0.7,2
AT39,S2RD,10,Control,A,120,168,644681256,32996379,-999,-999,0.7,1.9
AT39,S2RD,10,Control,A,144,168,663333878,43079891,-999,-999,0.7,2
AT39,S2RD,10,Control,A,168,168,733281211,51097088,59.2,0.8,0.8,2.2
AT39,S2RD,10,Control,A,672,168,-999,-999,57.1,0,-999,-999
AT39,S2RD,10,Control,A,720,168,-999,-999,-999,-999,-999,-999
AT39,S2RD,10,Control,A,1584,168,-999,-999,55.1,0.5,-999,-999
AT39,S2RD,10,Control,A,2328,168,-999,-999,55.2,0.8,-999,-999
AT39,S2RD,10,Control,B,0,168,147938610,13699880,59.6,1,0.2,0.3
AT39,S2RD,10,Control,B,24,168,162977287,18521007,-999,-999,0.2,0.4
AT39,S2RD,10,Control,B,48,168,430176100,37919513,-999,-999,0.5,1
AT39,S2RD,10,Control,B,72,168,687815444,56580475,-999,-999,0.7,1.5
AT39,S2RD,10,Control,B,85,168,-999,-999,-999,-999,0.7,1.5
AT39,S2RD,10,Control,B,96,168,638852311,64745321,-999,-999,0.7,1.4
AT39,S2RD,10,Control,B,120,168,652841778,48535662,-999,-999,0.7,1.5
AT39,S2RD,10,Control,B,144,168,746104889,70805615,-999,-999,0.8,1.7
AT39,S2RD,10,Control,B,168,168,708799644,68375282,58,0.6,0.8,1.6
AT39,S2RD,10,Control,B,672,168,-999,-999,57,0.5,-999,-999
AT39,S2RD,10,Control,B,720,168,-999,-999,-999,-999,-999,-999
AT39,S2RD,10,Control,B,1584,168,-999,-999,55.1,0.5,-999,-999
AT39,S2RD,10,Control,B,2328,168,-999,-999,56.4,-999,-999,-999
AT39,S2RF,10,Control,A,0,168,146889400,13891978,57.5,0.4,0.1,0.3
AT39,S2RF,10,Control,A,24,168,369321920,26337542,-999,-999,0.3,0.7
AT39,S2RF,10,Control,A,48,168,482636600,49897943,-999,-999,0.4,0.9
AT39,S2RF,10,Control,A,64,168,-999,-999,-999,-999,0.4,0.9
AT39,S2RF,10,Control,A,72,168,484035547,27150620,-999,-999,0.4,0.9
AT39,S2RF,10,Control,A,96,168,575899711,25893463,-999,-999,0.4,1.1
AT39,S2RF,10,Control,A,120,168,797399600,37353787,-999,-999,0.6,1.5
AT39,S2RF,10,Control,A,144,168,870844300,53011714,-999,-999,0.7,1.7
AT39,S2RF,10,Control,A,168,168,756596989,66049940,57.7,0.2,0.6,1.5
AT39,S2RF,10,Control,A,648,168,-999,-999,55.3,0.3,-999,-999
AT39,S2RF,10,Control,A,720,168,-999,-999,-999,-999,-999,-999
AT39,S2RF,10,Control,A,1560,168,-999,-999,55.3,1,-999,-999
AT39,S2RF,10,Control,A,2304,168,-999,-999,55.7,0.6,-999,-999
AT39,S2RF,10,Control,B,0,168,158080973,14635178,58.5,0,0.1,0.3
AT39,S2RF,10,Control,B,24,168,378415073,37370763,-999,-999,0.3,0.6
AT39,S2RF,10,Control,B,45,168,-999,-999,-999,-999,0.4,0.8
AT39,S2RF,10,Control,B,48,168,510615533,34108042,-999,-999,0.4,0.9
AT39,S2RF,10,Control,B,72,168,537894993,35886610,-999,-999,0.4,0.9
AT39,S2RF,10,Control,B,96,168,579397078,33899320,-999,-999,0.4,1
AT39,S2RF,10,Control,B,120,168,664499667,47593132,-999,-999,0.5,1.1
AT39,S2RF,10,Control,B,144,168,763591722,72543758,-999,-999,0.6,1.3
AT39,S2RF,10,Control,B,168,168,838202211,55895765,58.1,0.1,0.6,1.4
AT39,S2RF,10,Control,B,648,168,-999,-999,55.8,0.5,-999,-999
AT39,S2RF,10,Control,B,720,168,-999,-999,-999,-999,-999,-999
AT39,S2RF,10,Control,B,1560,168,-999,-999,54.8,0.1,-999,-999
AT39,S2RF,10,Control,B,2304,168,-999,-999,54.5,0.8,-999,-999
