Cruise,Station,Depth,Treatment,Bottle,Hours,Stationary_Sampling,Cells,Cells_sd,DOC,DOC_sd,Initial_BC,Stationary_BC
AT39,1,10,Control,A,0,192,130102040,13168771,60.8,0.7,-999,0.3
AT39,1,10,Control,A,24,192,171370967,19507379,-999,-999,-999,0.5
AT39,1,10,Control,A,48,192,201798057,16897908,-999,-999,-999,0.5
AT39,1,10,Control,A,72,192,234323567,28268878,-999,-999,-999,0.6
AT39,1,10,Control,A,96,192,379814020,31463344,-999,-999,-999,1
AT39,1,10,Control,A,120,192,461652400,44238578,-999,-999,-999,1.2
AT39,1,10,Control,A,144,192,431575047,30587244,-999,-999,-999,1.2
AT39,1,10,Control,A,158,192,-999,-999,-999,-999,-999,1.4
AT39,1,10,Control,A,168,192,608541800,31454704,-999,-999,-999,1.6
AT39,1,10,Control,A,192,192,605044433,40685865,58.6,0.8,-999,1.6
AT39,1,10,Control,A,384,192,-999,-999,58.2,0.6,-999,-999
AT39,1,10,Control,A,720,192,-999,-999,-999,-999,-999,-999
AT39,1,10,Control,A,864,192,-999,-999,58.2,1.5,-999,-999
AT39,1,10,Control,A,2016,192,-999,-999,55.5,0,-999,-999
AT39,1,10,Control,B,0,192,126604673,10530888,59.9,1,-999,0.3
AT39,1,10,Control,B,24,192,180813857,15114847,-999,-999,-999,0.5
AT39,1,10,Control,B,48,192,189557273,19141671,-999,-999,-999,0.5
AT39,1,10,Control,B,72,192,240618827,17432345,-999,-999,-999,0.6
AT39,1,10,Control,B,96,192,366524027,29344553,-999,-999,-999,0.9
AT39,1,10,Control,B,120,192,488931860,57059382,-999,-999,-999,1.3
AT39,1,10,Control,B,144,192,462351873,33537459,-999,-999,-999,1.2
AT39,1,10,Control,B,159,192,-999,-999,-999,-999,-999,1.4
AT39,1,10,Control,B,168,192,601547067,47325860,-999,-999,-999,1.6
AT39,1,10,Control,B,192,192,626728107,41734591,57.4,0.8,-999,1.6
AT39,1,10,Control,B,384,192,-999,-999,58.1,1.1,-999,-999
AT39,1,10,Control,B,720,192,-999,-999,-999,-999,-999,-999
AT39,1,10,Control,B,2016,192,-999,-999,55.8,0.7,-999,-999
AT39,2,10,Control,A,0,144,198650427,21483437,58.6,1.1,0.2,0.1
AT39,2,10,Control,A,24,144,378415073,17275717,-999,-999,0.4,0.3
AT39,2,10,Control,A,48,144,481937127,35275470,-999,-999,0.5,0.3
