Cruise,Station,Type,Time_Stamp,Latitude,Longitude,Bottom_Z,CruiseCN,SCN,CampCN,Niskin,Cast_Type,Target_Z,Pressure,Density00,Density11,Sal11,SoundVel,SoundVel1,Oxygen_uM,Oxygen_V,Temperature,Temperature1,Conductivity,Conductivity1,BeamT,BeamAt,Fluorescence,Turbidity,UVP5,TOC,TOC_QF,TOC_sd,DOC,DOC_QF,DOC_sd,TDN,TDN_QF,TDN_sd,BactProd,BactProd_QF,BactProd_sd,BactAbund,BactAbund_QF,BactAbund_sd,TDAA,TDAA_QF,TDAA_sd,Asp,Glu,His,Ser,Arg,Thr,Gly,Tau,Bala,Tyr,Ala,GABA,Met,Val,Phe,Ile,Leu,Lys
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,13,Deep,100,100.596,1026.9707,1026.9717,36.4319,1517.17,1517.17,-999,2.2152,17.3476,17.346800000000002,4.693646,4.693667,98.0871,-999,0.3149,0.0777,6.0746032,-999,9,-999,54.5,2,1.5,7.2,2,0.2,3.5,2,0.543,4.64,2,0.31,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,12,Deep,150,151.436,1027.2234,1027.2209,36.3983,1517.32,1517.34,-999,2.2044,17.124,17.1332,4.669137,4.670051,98.3916,-999,-0.0044,0.0621,6.3536892,-999,9,-999,54.3,2,0.3,6.9,2,0.4,2.12,2,0.256,3.69,2,0.21,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,11,Deep,200,202.857,1027.4827,1027.4836,36.3515,1517.24,1517.24,-999,2.1788,16.8325,16.8321,4.635948,4.636015,98.3808,-999,-0.0474,0.0534,6.3188034,-999,9,-999,52.6,2,1,9,2,0.2,-999,9,-999,3.42,2,0.28,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,10,Deep,200,202.585,1027.4818,1027.4826,36.3512,1517.23,1517.23,-999,2.1805,16.8308,16.8298,4.635736,4.63573,98.3954,-999,-0.0545,0.0599,6.3188034,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,9,Deep,200,202.805,1027.4826,1027.4843,36.3518,1517.24,1517.23,-999,2.1799,16.8316,16.8289,4.635841,4.635718,98.3927,-999,-0.0447,0.0531,6.3188034,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,8,Deep,200,202.674,1027.482,1027.483,36.3518,1517.24,1517.24,-999,2.1803,16.832,16.8319,4.635894,4.636017,98.3927,-999,-0.031,0.0533,6.3188034,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,7,Deep,200,203.112,1027.484,1027.485,36.3516,1517.25,1517.25,-999,2.1797,16.8315,16.8308,4.635835,4.635897,98.3922,-999,-0.0474,0.0536,6.3188034,-999,9,-999,-999,9,-999,-999,9,-999,0.03,3,0.0888,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,6,Deep,300,303.345,1027.9868,1027.9875,36.3261,1517.84,1517.84,-999,2.1678,16.4869,16.4868,4.602091,4.602171,98.5756,-999,-0.037,0.0494,6.278934,-999,9,-999,53,2,0.7,9.1,2,1.5,0.86,2,0.178,3.57,2,0.32,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,5,Deep,400,404.176,1028.4714,1028.4722,36.2409,1518.03,1518.03,-999,2.1406,16.0328,16.0318,4.550562,4.550543,98.624,-999,-0.0589,0.0436,6.12444,-999,9,-999,51.3,2,1.5,9.6,2,0.4,-999,9,-999,4.53,2,0.26,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,4,Deep,500,505.659,1028.9333,1028.9338,36.2083,1519.12,1519.12,-999,2.1145,15.8526,15.8525,4.53308,4.533129,98.7075,-999,-0.0581,0.0467,5.8254192,-999,9,-999,51.2,2,0.6,9.4,2,0.4,1.18,2,0.141,2.26,2,0.3,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
