Cruise,Station,Type,Time_Stamp,Latitude,Longitude,Bottom_Z,CruiseCN,SCN,CampCN,Niskin,Cast_Type,Target_Z,Pressure,Density00,Density11,Sal11,SoundVel,SoundVel1,Oxygen_uM,Oxygen_V,Temperature,Temperature1,Conductivity,Conductivity1,BeamT,BeamAt,Fluorescence,Turbidity,UVP5,TOC,TOC_QF,TOC_sd,DOC,DOC_QF,DOC_sd,TDN,TDN_QF,TDN_sd,BactProd,BactProd_QF,BactProd_sd,BactAbund,BactAbund_QF,BactAbund_sd,TDAA,TDAA_QF,TDAA_sd,Asp,Glu,His,Ser,Arg,Thr,Gly,Tau,Bala,Tyr,Ala,GABA,Met,Val,Phe,Ile,Leu,Lys
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,24,Biology,5,6.909,1026.735,1026.7345,35.4089,1500.91,1500.89,0,2.498,13.0337,13.0306,4.143023,4.14256,98.2958,0.0688,0.5041,0.2333,5.5862027,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,23,Biology,5,6.585,1026.7335,1026.7333,35.4072,1500.86,1500.86,0,2.498,13.0229,13.0228,4.141637,4.141602,98.3149,0.068,0.4551,0.229,5.5862027,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,22,Biology,5,7.144,1026.7361,1026.736,35.4074,1500.86,1500.87,0,2.4975,13.0211,13.0224,4.141458,4.141605,98.3209,0.0678,0.4377,0.2297,5.1974758,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,21,Biology,5,6.704,1026.7337,1026.7338,35.4073,1500.86,1500.86,0,2.4969,13.0216,13.0233,4.141441,4.141662,98.3214,0.0677,0.451,0.2324,4.9532755,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,20,Biology,5,7.2,1026.7357,1026.7358,35.4065,1500.86,1500.87,0,2.497,13.0196,13.0214,4.141192,4.141416,98.3149,0.068,0.4675,0.2341,4.72901,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,19,Biology,5,6.947,1026.7366,1026.7365,35.408,1500.84,1500.85,0,2.4986,13.016,13.018,4.141004,4.141227,98.3263,0.0675,0.4407,0.2306,4.6094017,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,18,Biology,5,7.104,1026.7357,1026.7357,35.4075,1500.87,1500.87,0,2.498,13.0234,13.0238,4.141711,4.141759,98.3187,0.0679,0.4343,0.2307,4.7888141,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,17,Biology,5,6.164,1026.7309,1026.7312,35.408,1500.87,1500.87,0,2.499,13.0274,13.0268,4.142095,4.142052,98.329,0.0674,0.4746,0.2317,5.5862027,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,16,Biology,5,6.978,1026.7356,1026.735,35.4093,1500.89,1500.9,0,2.4977,13.0275,13.0309,4.142284,4.142625,98.3198,0.0678,0.4376,0.2287,4.9333408,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT32,1,B,2015-11-12T09:14,51.047,-43.625,-999,1,1,1,15,Biology,5,6.531,1026.7342,1026.734,35.4085,1500.85,1500.86,0,2.4966,13.0206,13.0229,4.141472,4.141739,98.322,0.0677,0.4624,0.2239,5.2722309,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
