Cruise,Station,Type,Time_Stamp,Latitude,Longitude,Bottom_Z,CruiseCN,SCN,CampCN,Niskin,Cast_Type,Target_Z,Pressure,Density00,Density11,Sal11,SoundVel,SoundVel1,Oxygen_uM,Oxygen_V,Temperature,Temperature1,Conductivity,Conductivity1,BeamT,BeamAt,Fluorescence,Turbidity,UVP5,TOC,TOC_QF,TOC_sd,DOC,DOC_QF,DOC_sd,TDN,TDN_QF,TDN_sd,BactProd,BactProd_QF,BactProd_sd,BactAbund,BactAbund_QF,BactAbund_sd,TDAA,TDAA_QF,TDAA_sd,Asp,Glu,His,Ser,Arg,Thr,Gly,Tau,Bala,Tyr,Ala,GABA,Met,Val,Phe,Ile,Leu,Lys
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,24,Biology,5,5.526,1026.3793,1026.3842,36.5407,1518.69,1518.7,5.054,2.3515,18.3691,18.3699,4.807438,4.808304,97.9739,-999,0.9942,0.0521,5.4915128,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,23,Biology,5,5.367,1026.3775,1026.3826,36.5404,1518.7,1518.71,5.0546,2.3518,18.3719,18.3724,4.807667,4.808524,97.7959,-999,1.1101,0.0579,5.4865291,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,22,Biology,5,5.538,1026.3789,1026.3844,36.5407,1518.69,1518.7,5.0529,2.3511,18.3701,18.3695,4.807521,4.808269,97.7127,-999,1.0298,0.0595,5.5014801,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,21,Biology,5,4.978,1026.3769,1026.3823,36.5409,1518.68,1518.69,5.0506,2.3503,18.3689,18.3683,4.80739,4.808136,97.9871,-999,1.0062,0.0504,5.5014801,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,20,Biology,5,6.038,1026.3822,1026.3875,36.5411,1518.69,1518.7,5.0529,2.3509,18.367,18.367,4.807262,4.808076,97.6984,-999,0.9955,0.0639,5.5014801,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,19,Biology,5,6.032,1026.3824,1026.3878,36.5412,1518.69,1518.7,5.0571,2.3524,18.3661,18.3658,4.807181,4.80795,97.8979,-999,1.057,0.069,5.4915128,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,18,Biology,5,6.082,1026.3823,1026.3877,36.541,1518.7,1518.7,5.0468,2.3486,18.3671,18.3668,4.807268,4.80804,98.0224,-999,1.1178,0.0609,5.4815454,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,17,Biology,5,6.388,1026.3837,1026.3891,36.541,1518.7,1518.71,5.0575,2.3524,18.3664,18.366,4.807201,4.807972,97.9056,-999,1.0336,0.061,5.4715781,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,16,Biology,5,5.67,1026.381,1026.3865,36.5412,1518.68,1518.69,5.0591,2.3531,18.3646,18.3645,4.806958,4.807804,97.9386,-999,1.2099,0.0674,5.5014801,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,15,Biology,5,5.925,1026.383,1026.388,36.5412,1518.68,1518.69,5.0464,2.3484,18.3625,18.3631,4.806816,4.807668,97.8929,-999,0.8914,0.0563,5.4715781,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,14,Biology,5,5.768,1026.3827000000001,1026.3878,36.5414,1518.68,1518.68,5.0564,2.352,18.3616,18.362,4.806739,4.807577,97.5634,-999,1.282,0.0502,5.4915128,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,13,Biology,12,12.239,1026.4099,1026.4151,36.5411,1518.79,1518.8,5.0549,2.3501,18.365,18.3651,4.807349,4.808158,98.0086,-999,0.9451,0.0662,5.5164312,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,12,Biology,12,12.418,1026.4088,1026.4142,36.5404,1518.81,1518.82,5.0542,2.35,18.3701,18.3698,4.807792,4.808574,98.0218,-999,0.9848,0.0565,5.4815454,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,11,Biology,12,12.592,1026.4097,1026.4151,36.5408,1518.82,1518.82,5.0561,2.3507,18.371,18.3704,4.807949,4.808693,98.0648,-999,0.9684,0.056,5.4915128,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,10,Biology,12,12.964,1026.4117,1026.418,36.5409,1518.81,1518.81,5.057,2.3508,18.3682,18.3655,4.807619,4.808201,98.0097,-999,1.1013,0.0629,5.4665944,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,9,Biology,12,12.276,1026.4099,1026.4147,36.5406,1518.8,1518.8,5.0601,2.3521,18.366,18.366,4.807464,4.808194,97.9761,-999,1.0356,0.0553,5.4815454,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,8,Biology,12,12.621,1026.4103,1026.4156,36.5404,1518.81,1518.81,5.052,2.3491,18.3683,18.3679,4.807627,4.80839,98.018,-999,1.0509,0.0702,5.5014801,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,7,Biology,36,36.082,1026.5111,1026.5164,36.5406,1519.22,1519.23,5.0519,2.3439,18.3755,18.376,4.809434,4.810318,97.8086,-999,1.0484,0.0585,5.4715781,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,6,Biology,36,35.906,1026.5105,1026.5157,36.5408,1519.22,1519.23,5.0582,2.3463,18.3761,18.3761,4.809549,4.810338,97.8328,-999,1.0662,0.0696,5.4815454,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,5,Biology,36,37.42,1026.5172,1026.5223,36.541,1519.25,1519.25,5.0594,2.3464,18.3769,18.3768,4.809743,4.810511,97.9425,-999,1.7795,0.0759,5.4715781,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT39-6,1,B,2018-03-27T09:10,39.405,-43.417,-999,1,1,114,4,Biology,36,37.111,1026.5159,1026.5213,36.5414,1519.24,1519.25,5.0669,2.3492,18.3768,18.3766,4.809721,4.810517,97.9656,-999,1.0095,0.0546,5.4964965,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
